year,gender,age,MYE,flag,min
1971,F,0,15485,FALSE,15485
1971,F,1,15432,FALSE,15432
1971,F,2,15540,FALSE,15540
1971,F,3,15566,FALSE,15566
1971,F,4,15418,FALSE,15418
1971,F,5,15711,FALSE,15711
1971,F,6,16110,FALSE,16110
1971,F,7,15888,FALSE,15888
1971,F,8,15256,FALSE,15256
1971,F,9,14962,FALSE,14962
1971,F,10,14457,FALSE,14457
1971,F,11,13971,FALSE,13971
1971,F,12,13500,FALSE,13500
1971,F,13,13556,FALSE,13556
1971,F,14,13417,FALSE,13417
1971,F,15,12468,FALSE,12468
1971,F,16,11951,FALSE,11951
1971,F,17,11982,FALSE,11982
1971,F,18,12195,FALSE,12195
1971,F,19,12181,FALSE,12181
1971,F,20,12047,FALSE,12047
1971,F,21,12025,FALSE,12025
1971,F,22,11843,FALSE,11843
1971,F,23,11519,FALSE,11519
1971,F,24,11177,FALSE,11177
1971,F,25,10530,TRUE,10472
1971,F,26,10454,TRUE,10148
1971,F,27,10495,TRUE,10269
1971,F,28,10326,TRUE,10234
1971,F,29,9220,FALSE,9220
1971,F,30,8784,FALSE,8784
1971,F,31,8835,FALSE,8835
1971,F,32,8853,FALSE,8853
1971,F,33,8474,FALSE,8474
1971,F,34,8530,FALSE,8530
1971,F,35,8560,TRUE,8433
1971,F,36,8264,TRUE,8091
1971,F,37,8133,TRUE,8003
1971,F,38,8326,TRUE,7963
1971,F,39,8180,TRUE,7984
1971,F,40,8408,TRUE,8152
1971,F,41,8444,TRUE,8080
1971,F,42,8297,TRUE,8052
1971,F,43,8333,TRUE,7955
1971,F,44,8612,TRUE,8326
1971,F,45,8649,TRUE,8019
1971,F,46,8405,TRUE,7946
1971,F,47,8700,TRUE,8022
1971,F,48,8757,TRUE,8166
1971,F,49,9003,TRUE,8429
1971,F,50,9204,TRUE,8587
1971,F,51,9140,TRUE,8554
1971,F,52,8354,TRUE,7785
1971,F,53,7613,TRUE,6954
1971,F,54,7603,TRUE,7042
1971,F,55,7904,TRUE,7196
1971,F,56,8432,TRUE,7446
1971,F,57,8282,TRUE,7436
1971,F,58,8314,TRUE,7400
1971,F,59,8046,TRUE,7251
1971,F,60,8254,TRUE,7597
1971,F,61,7907,TRUE,7417
1971,F,62,7738,TRUE,7211
1971,F,63,7511,TRUE,6861
1971,F,64,7443,TRUE,6559
1971,F,65,7277,TRUE,5735
1971,F,66,7042,TRUE,5410
1971,F,67,6685,TRUE,5180
1971,F,68,6396,TRUE,4906
1971,F,69,6147,TRUE,4501
1971,F,70,6087,TRUE,4447
1971,F,71,5920,TRUE,4237
1971,F,72,5449,TRUE,3917
1971,F,73,5036,TRUE,3626
